date,ticker,return,volatility,momentum,sma_ratio,vix_z
2019-06-21,VZ,0.0074992378562293,0.01647886228252432,-0.022551834333520402,1.007089254211452,0.14067601752131606
2019-06-21,CSCO,-0.006619287380863,0.017250641142974168,0.0267724673948917,1.0374567512251867,0.14067601752131606
2019-06-21,MRK,-0.0003542804570918,0.008217050202842493,0.0507688095045354,1.0345211581099643,0.14067601752131606
2019-06-21,JNJ,-0.0008438840431937,0.01290369889259875,0.03224394840076489,1.0325486447893575,0.14067601752131606
2019-06-21,AMGN,0.0164601480599071,0.010990115791711646,0.0896631222105078,1.0673671601986683,0.14067601752131606
2019-06-21,CRM,-0.0022903135416979,0.024645435532759566,0.0010058349830748847,1.0219395701653802,0.14067601752131606
2019-06-21,HON,-0.0112313108136,0.008441969107467693,0.034697402617981404,1.023916239032564,0.14067601752131606
2019-06-21,DOW,-0.0116493116037426,0.020516357005566137,-0.01882299366563181,0.9735745775799676,0.14067601752131606
2019-06-24,AAPL,-0.0010058455907989,0.01336594782026172,0.102133239159373,1.054594138044572,0.06851618664021092
2019-06-24,MSFT,0.0059143253920803,0.013888043643517712,0.09006172922805011,1.0593962159697663,0.06851618664021092
2019-06-24,JPM,-0.0071272683247862,0.01054711811831998,0.001287980111967093,0.9950938655361352,0.06851618664021092
2019-06-24,GS,0.0079105369126413,0.014389991823910977,0.034934690204613296,1.033586346321235,0.06851618664021092
2019-06-24,NKE,-0.0145775201175086,0.01771154518145781,0.028164518939301015,1.027582882371213,0.06851618664021092
2019-06-24,DIS,-0.007202489756226,0.01290755404962926,0.0494341181408667,1.0174209225904431,0.06851618664021092
2019-06-24,IBM,0.0010776358545891,0.011396626157591854,0.052589654840319494,1.0416836289692286,0.06851618664021092
2019-06-24,INTC,0.0035819990733458,0.014139231683720638,0.06939790070785788,1.0410604559456986,0.06851618664021092
2019-06-24,KO,0.0071773779387638,0.008360153277134394,0.0492138615547464,1.029733922323185,0.06851618664021092
2019-06-24,MCD,-0.0016644753955487,0.008300902259727152,0.031124520557700503,1.0109630266515814,0.06851618664021092
2019-06-24,MMM,0.0001728957111997,0.011948486881934114,0.04574336615370089,1.0395403036325548,0.06851618664021092
2019-06-24,V,0.002364262718165,0.01056025314105895,0.0748661172058605,1.03754180452381,0.06851618664021092
2019-06-24,WMT,0.0009902187560535,0.005824577408616132,0.0886131416070188,1.0456432984632877,0.06851618664021092
2019-06-24,CVX,-0.0001600824831777,0.010366269418133338,0.0591617798959163,1.039753194028961,0.06851618664021092
2019-06-24,XOM,-0.009524992356438,0.012048380311037953,0.043423600791067093,1.0364235527059702,0.06851618664021092
2019-06-24,CAT,0.0035849408911727,0.009245664583839684,0.09551053537481259,1.0664326152984083,0.06851618664021092
2019-06-24,BA,0.0057820243017823,0.016782131165117436,0.06760109002194038,1.0540627232688755,0.06851618664021092
2019-06-24,AXP,-0.0047300525080884,0.010052911056248367,0.0481498978410201,1.0298412776713965,0.06851618664021092
2019-06-24,HD,-0.0185779204913714,0.011169665161432866,0.0763148678770945,1.0338110149664999,0.06851618664021092
2019-06-24,UNH,-0.0104644989583092,0.012113977130537358,0.01855139071928401,1.0216357186612512,0.06851618664021092
2019-06-24,PG,0.010161841681394,0.010863273397951678,0.052104413344857894,1.0386682973583978,0.06851618664021092
2019-06-24,TRV,0.0035645581736822,0.006380303669819342,0.0399499300975271,1.0227771474273861,0.06851618664021092
2019-06-24,VZ,0.0086550458760574,0.016562588067628833,-0.007483279716075805,1.0163118579538757,0.06851618664021092
2019-06-24,CSCO,0.0026304645581696,0.015993936620353418,0.0563377282810548,1.0374985097299965,0.06851618664021092
2019-06-24,MRK,0.011114644276051,0.00841714560316121,0.06138930620479039,1.0429650908819352,0.06851618664021092
2019-06-24,JNJ,0.0068264063473324,0.012890742965753736,0.03164753943386009,1.0380813469893397,0.06851618664021092
2019-06-24,AMGN,-0.0121851525564797,0.01155980413457335,0.0727495665430888,1.0507305393155215,0.06851618664021092
